sample_track,model_id,target_id,horizon,observation_count,origin_start,origin_end,rmse,mae,mase,mean_error
abm_pandemic_masked_common_cells,beforeit_var_p3_constant,gdp_deflator,2,52,2010Q2,2025Q1,1.6931638143396786,1.2871147335509614,1.7150622063368588,0.5856748225319353
abm_pandemic_masked_common_cells,beforeit_var_p3_constant,gdp_deflator,4,50,2010Q2,2024Q3,2.37438634210633,1.6066598217161856,2.1074785265145963,0.5871013024618186
abm_pandemic_masked_common_cells,beforeit_var_p3_constant,gdp_deflator,8,46,2010Q2,2023Q3,20.836225625242783,5.939290992711486,7.803120493332491,3.2127477313306883
abm_pandemic_masked_common_cells,beforeit_var_p3_constant,gdp_deflator,12,42,2010Q2,2022Q3,60.641870212513865,13.851731291533968,17.435014125238734,7.279628391264719
abm_pandemic_masked_common_cells,beforeit_var_p3_constant,nominal_gdp,1,53,2010Q2,2025Q2,4.498666447532121,3.111340461038993,1.184819539794261,1.1126498781451957
abm_pandemic_masked_common_cells,beforeit_var_p3_constant,nominal_gdp,2,52,2010Q2,2025Q1,4.800894969095208,3.5416438153774235,1.352686630928821,1.5110766726588685
abm_pandemic_masked_common_cells,beforeit_var_p3_constant,nominal_gdp,4,50,2010Q2,2024Q3,4.833746811365303,3.0083434897460095,1.1363921834320525,1.4237627519499438
abm_pandemic_masked_common_cells,beforeit_var_p3_constant,nominal_gdp,8,46,2010Q2,2023Q3,49.15263839314779,13.512432017115135,4.982938318936814,6.551400017148086
abm_pandemic_masked_common_cells,beforeit_var_p3_constant,nominal_gdp,12,42,2010Q2,2022Q3,361.3982629642291,60.60593851210316,18.406175585592564,55.46250520848638
abm_pandemic_masked_common_cells,beforeit_var_p3_constant,unemployment_rate,1,53,2010Q2,2025Q2,0.5889149657535234,0.3539181460050348,1.1074246366175091,-0.05256881828863373
abm_pandemic_masked_common_cells,beforeit_var_p3_constant,unemployment_rate,2,52,2010Q2,2025Q1,0.9274440758698087,0.5904892298844583,1.8833970783400977,-0.16067986412386762
abm_pandemic_masked_common_cells,beforeit_var_p3_constant,unemployment_rate,4,50,2010Q2,2024Q3,1.9422387922480542,1.257886579688624,3.948160801537717,-0.4297818343703452
abm_pandemic_masked_common_cells,beforeit_var_p3_constant,unemployment_rate,8,46,2010Q2,2023Q3,19.407029872968458,5.626657226167437,16.400312990772413,0.8598309451717051
abm_pandemic_masked_common_cells,beforeit_var_p3_constant,unemployment_rate,12,42,2010Q2,2022Q3,74.7901008400872,17.910307716379002,50.76627306393558,-7.310648497553091
abm_pandemic_masked_common_cells,beforeit_var_p3_constant,effective_federal_funds_rate,1,53,2010Q2,2025Q2,0.33745935801381766,0.26767113936589065,0.9744257446312174,0.025298117118294088
abm_pandemic_masked_common_cells,beforeit_var_p3_constant,effective_federal_funds_rate,2,52,2010Q2,2025Q1,0.7597101956680237,0.5199266035550563,1.8597311201524158,0.14030718206010467
abm_pandemic_masked_common_cells,beforeit_var_p3_constant,effective_federal_funds_rate,4,50,2010Q2,2024Q3,1.610015766914467,1.0958595004618124,3.8938866969409314,0.38976112666257606
abm_pandemic_masked_common_cells,beforeit_var_p3_constant,effective_federal_funds_rate,8,46,2010Q2,2023Q3,3.587665847137329,2.3371007786489697,8.214469644002913,1.0040458505859453
abm_pandemic_masked_common_cells,beforeit_var_p3_constant,effective_federal_funds_rate,12,42,2010Q2,2022Q3,5.1402044947124566,3.07186014623149,11.168353906958592,1.9016890523630976
abm_pandemic_masked_common_cells,bvar_mniw_v1_p1_constant_tight3fc999999999999a_decay3ff0000000000000_own0000000000000000_ivar4059000000000000_iwoff2_iscale3ff0000000000000_floor3e45798ee2308c3a_diffmse_scale,real_gdp,1,53,2010Q2,2025Q2,1.8730428014275253,1.554791787066781,0.6245314473394953,-0.004455409087817405
abm_pandemic_masked_common_cells,bvar_mniw_v1_p1_constant_tight3fc999999999999a_decay3ff0000000000000_own0000000000000000_ivar4059000000000000_iwoff2_iscale3ff0000000000000_floor3e45798ee2308c3a_diffmse_scale,real_gdp,2,52,2010Q2,2025Q1,1.8360327927906464,1.524955907046479,0.608470953382469,-0.09356286344569863
abm_pandemic_masked_common_cells,bvar_mniw_v1_p1_constant_tight3fc999999999999a_decay3ff0000000000000_own0000000000000000_ivar4059000000000000_iwoff2_iscale3ff0000000000000_floor3e45798ee2308c3a_diffmse_scale,real_gdp,4,50,2010Q2,2024Q3,1.7453319880940563,1.4630265644173013,0.5765601803951763,-0.2534390798914796
abm_pandemic_masked_common_cells,bvar_mniw_v1_p1_constant_tight3fc999999999999a_decay3ff0000000000000_own0000000000000000_ivar4059000000000000_iwoff2_iscale3ff0000000000000_floor3e45798ee2308c3a_diffmse_scale,real_gdp,8,46,2010Q2,2023Q3,1.7468645870193802,1.4062356629168073,0.5656377790468599,-0.23937168310915186
abm_pandemic_masked_common_cells,bvar_mniw_v1_p1_constant_tight3fc999999999999a_decay3ff0000000000000_own0000000000000000_ivar4059000000000000_iwoff2_iscale3ff0000000000000_floor3e45798ee2308c3a_diffmse_scale,real_gdp,12,42,2010Q2,2022Q3,1.534458929669271,1.228983159469291,0.4967416821607556,-0.40421180232472637
abm_pandemic_masked_common_cells,bvar_mniw_v1_p1_constant_tight3fc999999999999a_decay3ff0000000000000_own0000000000000000_ivar4059000000000000_iwoff2_iscale3ff0000000000000_floor3e45798ee2308c3a_diffmse_scale,gdp_deflator,1,53,2010Q2,2025Q2,1.1382676724921068,0.9146772133028731,1.2214321915436135,0.20592703855763636
abm_pandemic_masked_common_cells,bvar_mniw_v1_p1_constant_tight3fc999999999999a_decay3ff0000000000000_own0000000000000000_ivar4059000000000000_iwoff2_iscale3ff0000000000000_floor3e45798ee2308c3a_diffmse_scale,gdp_deflator,2,52,2010Q2,2025Q1,1.4158117510387669,0.9464615996143717,1.2580189164011344,0.11303127747958852
abm_pandemic_masked_common_cells,bvar_mniw_v1_p1_constant_tight3fc999999999999a_decay3ff0000000000000_own0000000000000000_ivar4059000000000000_iwoff2_iscale3ff0000000000000_floor3e45798ee2308c3a_diffmse_scale,gdp_deflator,4,50,2010Q2,2024Q3,1.6685452272014516,1.0215766679302374,1.350967432816871,-0.08195075890147939
abm_pandemic_masked_common_cells,bvar_mniw_v1_p1_constant_tight3fc999999999999a_decay3ff0000000000000_own0000000000000000_ivar4059000000000000_iwoff2_iscale3ff0000000000000_floor3e45798ee2308c3a_diffmse_scale,gdp_deflator,8,46,2010Q2,2023Q3,1.7633514297746065,1.087598122474527,1.4851496698293876,-0.2373879873663035
